fecha_de_pago,cod_comercio," PERCEPCION IVA R.G. 2408   3,00 %",AJUSTE SIRTAC JUL. 1RA QUINC,AJUSTE SIRTAC JUNIO 2DA QUINC,ARANCEL                                     ,CARGOS DE ENTIDAD                           ,"CRED FISCAL AHORA 12/18 VTA EN CUOTAS 10,50%","CRED. FISCAL PAG.S/DTO.FIN.OTORG 21,00%     ","CRED.FISC.LEY 25063 PAG.S/DTO.F.OTORG. 10,50",DESCUENTO FINANC.OTORG. CUOTAS              ,IMPORTE NETO DE PAGOS                       ,"IVA CRED.FISC.COM.L.25063 S/DTO F.OTOR 10,50","IVA CRED.FISC.COMERCIO S/ARANC 21,00%       ","IVA PROMO CUOTAS AHORA 12/18 - 10,50%",IVA RI CRED.FISC.COMERCIO S/DTO F.OTORG     ,PER B.A.I.BR.DN.01/04,PERC.I.B. CORRIENTES R.165/00,PERCEP ING BR MISIONES R.G. 003/93,"PERCEPCION IVA R.G. 2408   1,50 %",PROMO CUOTAS AHORA 12/18,REEMBOLSOS DE ENTIDAD                       ,RETENCION IMP.GANANCIAS                     ,RETENCION ING.BRUTOS                        ,RETENCION ING.BRUTOS SIRTAC,RETENCION IVA                               ,SUBTOTAL NETO DE PAGOS                      ,TOTAL DEDUCCIONES                           ,TOTAL LIQUIDACION                           ,VENTAS C/DESCUENTO CONTADO                  ,VENTAS C/DTO CUOTAS FINANC. OTORG.          ,ventas con descuento
2022-07-01,25107566,136.06,,,2607.1099999999997,,962.671,,,,149469.41,,547.495,962.67,,,,,,9168.3,,1401.75,3900.59,1556.7849999999999,3784.5649999999996,149469.41,18931.81,149469.41,59628.0,217546.44,277174.44
2022-07-01,25107579,83.08,,,1561.59,,699.385,,,,89428.755,,327.935,699.39,,,,,,6660.81,,831.845,,924.2149999999999,2275.6299999999997,89428.755,9642.855,89428.755,24616.65,148909.92,173526.57
2022-07-01,25107581,79.84,,,1781.535,,593.899,,,,117917.35,,374.12,593.9,,115.24,,,,5656.19,,977.22,2446.475,1133.77,2372.625,117917.35,12365.95,117917.35,60625.8,139315.0,199940.8
2022-07-01,25107594,102.4,,,1883.135,,1118.655,,,,101533.34,,395.455,1118.66,,180.25,,,,10653.87,,987.235,2118.8199999999997,1102.595,2742.765,101533.34,15347.720000000001,101533.34,44142.1,189620.02,233762.12
2022-07-01,25107603,,,,1119.265,,370.318,,,,75475.495,,235.04500000000002,370.32,,,,,,3526.84,,617.05,3046.2200000000003,725.0250000000001,1450.5449999999998,75475.495,9141.73,75475.495,41183.225,86868.0,128051.225
2022-07-01,25107616,80.73,,,1468.84,,585.562,,,,79685.945,,308.46,585.56,,106.43,,,,5576.79,,782.66,1658.97,855.5,2194.7799999999997,79685.945,10497.18,79685.945,21503.5,137359.25,158862.75
2022-07-01,25107629,75.39,,,1424.88,,575.347,,,,82376.23,,299.225,575.35,,,,,,5479.5,,762.485,,845.3799999999999,2078.68,82376.23,8475.77,82376.23,23370.5,134963.0,158333.5
2022-07-01,25107631,90.99,,,1403.7566666666664,,886.82,,,,86564.69666666667,,294.7866666666667,886.82,,,,,,8445.91,,755.8733333333333,,833.1899999999999,1964.573333333333,86564.69666666667,8393.42,86564.69666666667,40952.666666666664,162016.35,202969.01666666666
2022-07-01,25107657,,,,1271.37,,407.069,,,,102474.16,,266.99,407.07,,,,,,3876.86,,715.59,,883.79,1457.905,102474.16,6737.61,102474.16,69690.595,79042.35,148732.945
2022-07-01,25108439,80.21,,,1226.61,,667.072,444.92,,2118.73,75993.28333333334,,257.59,667.07,444.92,,,,,6353.07,,657.7266666666667,,735.0433333333334,1693.92,75993.28333333334,7792.223333333332,75993.28333333334,45578.95,80099.31,125678.26
2022-07-01,25108471,66.88,,,1206.3049999999998,,492.257,,,,66136.615,,253.32500000000002,492.26,,,,,,4688.16,,641.485,,699.4100000000001,1811.01,66136.615,7235.185,66136.615,15635.8,115472.0,131107.8
2022-07-01,25108573,64.35,,,1203.865,,634.545,,,,66606.06,,252.81,634.55,,105.64,,,,6043.29,,636.36,1388.26,710.86,1745.8999999999999,66606.06,9414.789999999999,66606.06,32900.0,119141.7,152041.7
2022-07-01,25892842,210.34,,,4036.505,,1771.788,,,,236393.03499999997,,847.665,1771.79,,,,,,16874.17,,2157.29,,2411.98,5814.139999999999,236393.03499999997,24695.73,236393.03499999997,79946.0,362285.53,442231.53
2022-07-01,25892918,80.04,,,2148.355,,596.009,,,,164882.31,,451.155,596.01,,,,,,5676.28,,1204.3200000000002,,1453.745,2602.9500000000003,164882.31,11036.689999999999,164882.31,106014.0,139810.0,245824.0
2022-07-04,25098024,250.715,,,8355.475,,3601.909,,,,488482.225,,1754.65,3601.91,,,,,,34303.9,,4488.83,20133.6,5079.3,11768.975,488482.225,70784.45,488482.225,187814.5,742904.35,930718.85
2022-07-04,25107096,135.45,,,2776.5299999999997,,1109.706,,,,170228.04499999998,,583.0699999999999,1109.71,,193.21499999999997,,,,10568.64,,1500.5500000000002,3537.455,1708.3049999999998,3858.125,170228.04499999998,20064.15,170228.04499999998,129743.3,250841.09,380584.39
2022-07-04,25107105,219.84,,,7327.685,,2780.472,,,,445123.715,,1538.815,2780.47,,493.415,,,,26480.69,,3962.0,9250.039999999999,4485.945,10275.224999999999,445123.715,52183.545000000006,445123.715,180209.5,634195.52,814405.02
2022-07-04,25107118,128.78,,,2885.626666666667,,1622.259,,,,194243.09,,605.9833333333333,1622.26,,281.57,,,,15450.09,,2352.3650000000002,4030.896666666666,1850.3266666666666,3769.013333333334,194243.09,20674.440000000002,194243.09,108313.41666666667,319812.34,428125.7566666667
2022-07-04,25107120,170.05,,,2509.66,,1313.903,,,,165223.90666666665,,527.0266666666666,1313.9,,,,,,12513.36,,2016.7799999999997,,1569.5833333333333,3399.513333333334,165223.90666666665,14016.073333333334,165223.90666666665,80904.06666666667,295007.74,375911.80666666664
2022-07-04,25107146,,,,987.56,,,,,,117728.05,,207.39,,,8.89,,,,,,612.29,2424.66,864.12,612.29,117728.05,5717.2,117728.05,123445.25,,
2022-07-04,25107159,210.55,,,3922.85,,1885.49,,,,216921.17500000002,,823.8000000000001,1885.49,,315.915,,,,17957.05,,2081.135,4518.78,2311.46,5730.66,216921.17500000002,29731.144999999997,216921.17500000002,53237.8,386829.04,440066.83999999997
2022-07-04,25107161,621.745,,,13824.126666666669,,8139.855,,,,787146.1666666666,,2903.066666666667,8139.86,,,,,,77522.43,,11113.115,20549.043333333335,8235.800000000001,20077.606666666667,787146.1666666666,101966.98,787146.1666666666,265663.3333333333,1870349.44,2136012.7733333334
2022-07-04,25107174,299.42,,,5074.8325,,3997.603,206.78,23.01,1203.8,291697.3625,23.01,1065.7175,3997.6,206.78,,,,,38072.41,,3609.98,7615.335,3028.4325,7314.6425,291697.3625,37832.055,291697.3625,129777.66666666667,464392.335,594170.0016666667
2022-07-04,25107187,341.945,,,5915.0825,,4169.806,342.1,,1629.05,360217.3125,,1242.17,4169.81,342.1,,,,,39712.44,,4261.456666666666,9393.7275,3596.91,8275.295,360217.3125,43253.6,360217.3125,157848.5,491244.825,649093.325
2022-07-04,25107191,70.36,,,1624.38,,596.713,,,,112413.905,,341.12,596.71,,,,,,5682.98,,891.41,,1046.715,2114.24,112413.905,9192.89,112413.905,57850.0,127513.59,185363.59
2022-07-04,25107209,371.455,,,8290.226666666667,,4804.806,,,,476951.07666666666,,1740.9466666666667,4804.81,,,,,,45760.05,,6650.344999999999,12448.633333333333,4955.446666666667,11978.836666666668,476951.07666666666,60950.24333333334,476951.07666666666,176157.66666666666,1085230.96,1261388.6266666667
2022-07-04,25107211,94.38666666666666,,,3145.65,,1445.035,706.06,,3362.21,212386.45333333334,,660.59,1445.04,706.06,,,,50.43,13762.24,,1718.9099999999999,,1972.1599999999999,4160.016666666667,212386.45333333334,18193.70666666667,212386.45333333334,119024.66666666667,167333.24,286357.9066666667
2022-07-04,25107224,91.36,,,1246.67,,784.123,,,,76190.57666666668,,261.8,784.12,,,,,,7467.84,,1002.005,1180.33,764.2199999999999,1737.75,76190.57666666668,8639.88,76190.57666666668,31525.966666666664,159913.47,191439.43666666668
2022-07-04,25107241,340.99,,,4364.453333333333,,3301.618,110.8,,527.62,246617.19333333336,,916.5366666666667,3301.62,110.8,,256.1333333333333,,,31443.98,,3453.1499999999996,5310.3,2595.2466666666664,6266.246666666667,246617.19333333336,33919.35333333333,246617.19333333336,123418.125,297386.695,420804.82
2022-07-04,25107252,84.07,,,1618.8799999999999,,789.2,,,,94763.53,,339.96500000000003,789.2,,,,,,7516.19,,861.8249999999999,,968.96,2315.41,94763.53,10299.769999999999,94763.53,28174.4,153777.8,181952.19999999998
2022-07-04,25107265,122.49,,,1319.32,,1294.72,372.85,,1775.51,75772.545,,277.0575,1294.72,372.85,,,,,12330.67,,696.7325,,773.885,1886.5775,75772.545,8927.6325,75772.545,39742.333333333336,109786.855,149529.18833333332
2022-07-04,25107278,74.51,,,1654.96,,575.305,,,,111410.1,,347.53999999999996,575.31,,,,,,5479.1,,906.26,,1051.445,2206.355,111410.1,9231.02,111410.1,56753.0,127776.24,184529.24
2022-07-04,25107280,81.72,,,1027.5433333333333,,705.925,360.17,,1715.08,50772.206666666665,,215.78666666666666,705.93,360.17,,,,,6723.1,,773.875,1331.7,565.6733333333333,1566.5433333333333,50772.206666666665,8418.496666666668,50772.206666666665,11367.3,83102.405,94469.705
2022-07-04,25107293,213.97,,,3036.0400000000004,,1935.756,75.01,,357.2,191864.85,,637.5666666666666,1935.76,75.01,,,,,18435.77,,1638.24,,1867.756666666667,4172.75,191864.85,18358.256666666668,191864.85,80261.06666666667,194943.06,275204.12666666665
2022-07-04,25107315,187.51,,,2720.6966666666667,,1428.276,627.7,,2989.04,164525.28,,571.3466666666667,1428.28,627.7,180.14666666666665,,,,13602.63,,1464.8500000000001,3421.7166666666667,1639.4633333333331,3797.2966666666666,164525.28,20073.903333333335,164525.28,107415.35,169483.425,276898.775
2022-07-04,25107328,176.76999999999998,,,3979.2533333333336,,1910.365,,60.56,576.8,277563.66333333333,60.56,835.6433333333334,1910.37,,232.61333333333332,,,,18193.96,,3258.8199999999997,5755.0233333333335,2589.403333333333,5092.683333333333,277563.66333333333,27688.91,277563.66333333333,161603.13333333333,215474.16,377077.29333333333
2022-07-04,25107330,182.77,,,3919.1499999999996,,1570.708,,,,249908.03000000003,,823.0250000000001,1570.71,,271.0,,,,14959.12,,2128.3199999999997,5190.51,2456.185,5302.474999999999,249908.03000000003,28446.965,249908.03000000003,117792.85,321124.29,438917.14
2022-07-04,25107343,134.62,,,4487.575,,1532.719,,,,303999.38,,942.3900000000001,1532.72,,274.815,,,,14597.33,,2467.5699999999997,6306.264999999999,2889.265,5864.9400000000005,303999.38,31432.464999999997,303999.38,166379.3,338105.09,504484.39
2022-07-04,25107356,235.59,,,4260.955,,1879.885,,,,228598.565,,894.8,1879.89,,324.965,,,,17903.67,,2259.99,4762.25,2474.065,6365.195000000001,228598.565,31351.795,228598.565,53617.2,412666.32,466283.52
2022-07-04,25107369,230.815,,,7693.375,,3024.797,,,,443877.435,,1615.61,3024.8,,535.9499999999999,,,,28807.59,,4129.88,9232.15,4603.205,11112.385,443877.435,55069.564999999995,443877.435,144173.5,709547.0,853720.5
2022-07-04,25107371,503.65500000000003,,,8445.39,,6952.576,113.54,,540.67,491660.6625,,1773.5324999999998,6952.58,113.54,,,,,66215.01,,8984.35,,5023.8325,12250.7025,491660.6625,50692.91,491660.6625,213758.0,764070.145,977828.145
2022-07-04,25107384,276.81,,,3648.2166666666667,,2421.085,372.45,,1773.56,212338.59,,766.1233333333333,2421.09,372.45,,,,,23057.95,,1942.6333333333334,,2160.3933333333334,5243.666666666667,212338.59,23061.653333333335,212338.59,95289.0,257811.36500000002,353100.365
2022-07-04,25107397,228.53,,,3240.866666666667,,1773.508,,,,201941.70333333334,,680.5833333333334,1773.51,,,,,,16890.55,,1755.0766666666666,,1966.24,4544.28,201941.70333333334,18484.576666666664,201941.70333333334,92552.75,383620.59,476173.34
2022-07-04,25107406,254.71,,,3305.783333333333,,2102.227,,,,194443.05666666667,,694.2133333333333,2102.23,,,,,,20021.21,,2627.56,,1972.4233333333334,4760.36,194443.05666666667,19943.87,194443.05666666667,58582.666666666664,467412.78,525995.4466666667
2022-07-04,25107419,150.23000000000002,,,5007.09,,1824.285,,,,326109.61,,1051.49,1824.29,,323.125,,,,17374.14,,2734.24,6769.635,3165.595,6712.63,326109.61,35513.25,326109.61,163206.9,396831.92,560038.82
2022-07-04,25107421,117.77,,,2413.0,,873.057,,,,149275.765,,506.73,873.06,,,,,,8314.84,,1308.38,2311.1,1484.375,3366.915,149275.765,16043.335000000001,149275.765,62919.6,204799.0,267718.6
